gkz;haushaltshinweis;haushaltshinweis_name;unterabschnitt;unterabschnitt_name;postengruppe;postengruppe_name;betrag;jahr
40101;1;"ordentliche Ausgaben";010;Zentralamt;618;"Instandhaltung von sonstigen Anlagen";4975,97;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;620;"Personen- und Gütertransporte";201,60;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;630;Postdienste;26741,48;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;631;Telekommunikationsdienste;24497,54;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;640;Rechtskosten;143336,05;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;670;Versicherungen;64,00;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;700;Mietzinse;413263,41;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;723;"Amtspauschalien und Repräsentationsausgaben";12878,49;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;728;"Entgelte für sonstige Leistungen";224335,28;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;729;"Sonstige Ausgaben";5729,59;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;757;"Laufende Transferzahlungen an private Organisationen ohne Erwerbszweck";374008,71;2012
40101;1;"ordentliche Ausgaben";010;Zentralamt;768;"Sonstige laufende Transferzahluungen an private Haushalte";3600,00;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;043;Betriebsausstattung;493,48;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;401;"Materialien (soweit nicht zugeordnet)";13581,35;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;457;Druckwerke;5064,15;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;500;"Geldbezüge von Beamten der Verwaltung";1494130,94;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";789214,53;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;520;"Geldbezüge der sonstigen Bediensteten";533367,86;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";7644,21;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;522;"Geldbezüge der nicht ganzjährig beschäftigter Angestellten";77765,26;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;560;" Reisegebühren";14352,33;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;565;Mehrleistungsvergütungen;1900,00;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;566;"Zuwendung aus  Anlass von Dienstjubiläen";2841258,70;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";96799,67;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";1234996,17;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;618;"Instandhaltung von sonstigen Anlagen";567,88;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;620;"Personen- und Gütertransporte";1794,00;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;631;Telekommunikationsdienste;16691,36;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;642;Beratungskosten;491,73;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;670;Versicherungen;15095,59;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;690;Schadensfälle;2282,70;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;700;Mietzinse;339523,57;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;710;"Öffentliche Abgaben (Ausgaben), ohne Gebühren gemäß FAG";1111,92;2012
40101;1;"ordentliche Ausgaben";011;Personalamt;728;"Entgelte für sonstige Leistungen";334370,25;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;043;Betriebsausstattung;454,14;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";79,90;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;401;"Materialien (soweit nicht zugeordnet)";8712,38;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;500;"Geldbezüge von Beamten der Verwaltung";264861,88;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";268246,72;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;511;"Geldbezüge der Vertragsbediensteten in handwerklicher Verwendung";64104,10;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;560;" Reisegebühren";2056,76;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";17901,88;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";84985,91;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;616;"Instandhaltung von Maschinen und maschinellen Anlagen";2578,50;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;617;"Instandhaltung von Fahrzeugen";2370,41;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;630;Postdienste;31206,59;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;631;Telekommunikationsdienste;4356,57;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;670;Versicherungen;3054,29;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;700;Mietzinse;84408,83;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;710;"Öffentliche Abgaben (Ausgaben), ohne Gebühren gemäß FAG";389,00;2012
40101;1;"ordentliche Ausgaben";012;Hilfsamt;728;"Entgelte für sonstige Leistungen";23623,22;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";394,27;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;401;"Materialien (soweit nicht zugeordnet)";57317,62;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;457;Druckwerke;8872,73;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;501;"Geldbezüge der Beamten in handwerklicher Verwendung";69217,37;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";64921,20;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;511;"Geldbezüge der Vertragsbediensteten in handwerklicher Verwendung";66570,46;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;560;" Reisegebühren";43,26;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";9118,68;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";30640,44;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;616;"Instandhaltung von Maschinen und maschinellen Anlagen";3390,41;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;618;"Instandhaltung von sonstigen Anlagen";341,30;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;631;Telekommunikationsdienste;2058,15;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;700;Mietzinse;122284,60;2012
40101;1;"ordentliche Ausgaben";013;Kanzleiökonomat;728;"Entgelte für sonstige Leistungen";5630,54;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;070;"Aktivierungsfähige Rechte";38,80;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";273,93;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;401;"Materialien (soweit nicht zugeordnet)";1553,63;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;457;Druckwerke;3482,73;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;500;"Geldbezüge von Beamten der Verwaltung";495622,51;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";206378,09;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;560;" Reisegebühren";5676,95;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";28701,57;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";57452,19;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;590;"Freiwillige Sozialleistungen";280,00;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;618;"Instandhaltung von sonstigen Anlagen";471,39;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;630;Postdienste;74,40;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;631;Telekommunikationsdienste;4187,30;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;700;Mietzinse;77997,27;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;723;"Amtspauschalien und Repräsentationsausgaben";104,86;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;728;"Entgelte für sonstige Leistungen";72656,15;2012
40101;1;"ordentliche Ausgaben";014;Gemeindekontrolleinrichtung;729;"Sonstige Ausgaben";447,15;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";043;Betriebsausstattung;5270,00;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";786,98;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";401;"Materialien (soweit nicht zugeordnet)";5679,26;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";403;Handelswaren;6070,52;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";457;Druckwerke;267589,51;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";500;"Geldbezüge von Beamten der Verwaltung";323718,13;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";510;"Geldbezüge der Vertragsbediensteten der Verwaltung";624182,60;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";511;"Geldbezüge der Vertragsbediensteten in handwerklicher Verwendung";32058,30;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";20414,42;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";560;" Reisegebühren";1428,44;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";41591,26;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";159013,48;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";590;"Freiwillige Sozialleistungen";840,00;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";618;"Instandhaltung von sonstigen Anlagen";1126,39;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";620;"Personen- und Gütertransporte";1087,30;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";630;Postdienste;20316,87;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";631;Telekommunikationsdienste;8922,49;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";700;Mietzinse;159439,22;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";710;"Öffentliche Abgaben (Ausgaben), ohne Gebühren gemäß FAG";2000,00;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";723;"Amtspauschalien und Repräsentationsausgaben";6375,53;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";728;"Entgelte für sonstige Leistungen";91784,19;2012
40101;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";729;"Sonstige Ausgaben";476,45;2012
40101;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";346;"Investitionsdarlehen von Finanzunternehmungen (Kreditinstituten, Versicherungsgesellschaften und rechtlich selbstständigen Pensionskassen)";50000,00;2012
40101;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";650;"Zinsen für Finanzschulden - Inland";22084,69;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";043;Betriebsausstattung;11879,78;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";070;"Aktivierungsfähige Rechte";160,80;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";298;Rücklagen;985274,73;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";1530,13;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";401;"Materialien (soweit nicht zugeordnet)";2991,59;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";457;Druckwerke;8422,41;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";458;"Mittel zur ärztlichen Betreuung und Gesundheitsvorsorge";81552,52;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";500;"Geldbezüge von Beamten der Verwaltung";258491,98;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";510;"Geldbezüge der Vertragsbediensteten der Verwaltung";227959,46;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";23688,71;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";560;" Reisegebühren";1420,50;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";24614,91;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";62409,92;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";618;"Instandhaltung von sonstigen Anlagen";23006,99;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";630;Postdienste;10454,44;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";631;Telekommunikationsdienste;3772,03;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";670;Versicherungen;1788,50;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";700;Mietzinse;72083,30;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";728;"Entgelte für sonstige Leistungen";139041,27;2012
40101;1;"ordentliche Ausgaben";018;"Geschäfsstelle der Kranken- und Unfallfürsorge";768;"Sonstige laufende Transferzahluungen an private Haushalte";10556493,29;2012
40101;1;"ordentliche Ausgaben";019;Repräsentation;403;Handelswaren;61559,40;2012
40101;1;"ordentliche Ausgaben";019;Repräsentation;723;"Amtspauschalien und Repräsentationsausgaben";234972,47;2012
40101;1;"ordentliche Ausgaben";019;Repräsentation;728;"Entgelte für sonstige Leistungen";920,00;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";070;"Aktivierungsfähige Rechte";646,98;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";256,41;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";401;"Materialien (soweit nicht zugeordnet)";5207,47;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";457;Druckwerke;1777,49;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";500;"Geldbezüge von Beamten der Verwaltung";421937,13;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";510;"Geldbezüge der Vertragsbediensteten der Verwaltung";307993,53;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";88336,80;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";560;" Reisegebühren";2555,76;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";36766,59;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";99291,21;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";590;"Freiwillige Sozialleistungen";364,00;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";618;"Instandhaltung von sonstigen Anlagen";65,47;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";620;"Personen- und Gütertransporte";280,28;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";630;Postdienste;1178,70;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";631;Telekommunikationsdienste;5613,87;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";700;Mietzinse;118616,98;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";728;"Entgelte für sonstige Leistungen";99752,73;2012
40101;1;"ordentliche Ausgaben";021;"Statistisches Amt";729;"Sonstige Ausgaben";359,62;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;042;Amtsausstattung;3547,20;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";420,99;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;401;"Materialien (soweit nicht zugeordnet)";6979,50;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;457;Druckwerke;814,99;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;500;"Geldbezüge von Beamten der Verwaltung";328976,65;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";224367,33;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;560;" Reisegebühren";3407,13;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";21125,88;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";56841,07;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;631;Telekommunikationsdienste;6848,01;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;700;Mietzinse;56221,48;2012
40101;1;"ordentliche Ausgaben";022;Standesamt;728;"Entgelte für sonstige Leistungen";10720,95;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;042;Amtsausstattung;2052,88;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";5500,82;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;401;"Materialien (soweit nicht zugeordnet)";13208,91;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;403;Handelswaren;3187,80;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;457;Druckwerke;304,12;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;500;"Geldbezüge von Beamten der Verwaltung";693322,26;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";1633989,10;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";22412,61;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;560;" Reisegebühren";2877,80;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";89706,22;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";387361,70;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;590;"Freiwillige Sozialleistungen";1708,00;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;614;"Instandhaltung von Gebäuden";7550,02;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;618;"Instandhaltung von sonstigen Anlagen";455,97;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;631;Telekommunikationsdienste;32874,62;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;670;Versicherungen;19,98;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;700;Mietzinse;583294,96;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;723;"Amtspauschalien und Repräsentationsausgaben";904,61;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;728;"Entgelte für sonstige Leistungen";809120,62;2012
40101;1;"ordentliche Ausgaben";023;Einwohneramt;729;"Sonstige Ausgaben";686,18;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;400;"Geringwertige Wirtschaftsgüter des Anlagevermögens";336,61;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;401;"Materialien (soweit nicht zugeordnet)";2533,90;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;457;Druckwerke;41,76;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;500;"Geldbezüge von Beamten der Verwaltung";73727,96;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";45428,41;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;511;"Geldbezüge der Vertragsbediensteten in handwerklicher Verwendung";15,54;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;521;"Geldbezüge der ganzjährig beschäftigten Arbeiter";229,11;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;560;" Reisegebühren";346,83;2012
40101;1;"ordentliche Ausgaben";024;Wahlamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";4409,20;2012
