date cvd tmpd o3mean
1987-11-03 48 62 -12.6093
1987-11-04 51 62.75 -19.0739
1987-11-05 54 60.75 -17.0552
1987-11-06 57 60.75 -12.6485
1987-11-07 33 60.75 -7.101
1987-11-08 48 63 -4.4658
1987-11-09 45 65.5 -13.4653
1987-11-10 50 71 -15.4544
1987-11-11 49 71.5 -12.633
1987-11-12 56 65.75 -9.0902
1987-11-13 42 62.75 -12.9564
1987-11-14 34 63.75 -10.4239
1987-11-15 34 61 -10.1675
1987-11-16 52 59 -16.6918
1987-11-17 50 58.75 -21.9502
1987-11-18 57 66 -16.7012
1987-11-19 50 69.75 -17.3265
1987-11-20 51 65.75 -16.6176
1987-11-21 34 61.75 -12.1049
1987-11-22 44 58.75 -6.3857
1987-11-23 55 57.75 -10.9646
1987-11-24 62 60.75 -14.3425
1987-11-25 62 60.25 -13.7156
1987-11-26 52 58.25 -10.4516
1987-11-27 45 59.25 -15.7742
1987-11-28 57 55 -13.9935
1987-11-29 50 55.75 -9.2516
1987-11-30 45 54.25 -18.4699
1987-12-01 63 55.5 -14.5919
1987-12-02 49 57.75 -10.3976
1987-12-03 51 59 -12.3344
1987-12-04 42 59.5 -19.9715
1987-12-05 66 59 -17.8009
1987-12-06 65 58.5 -15.122
1987-12-07 48 61 -16.3596
1987-12-08 54 57.5 -19.9299
1987-12-09 45 57.5 -21.2913
1987-12-10 54 64 -18.2251
1987-12-11 60 59.25 -17.7817
1987-12-12 58 59.25 -8.2725
1987-12-13 49 52.5 -1.7333
1987-12-14 45 50.5 -16.9039
1987-12-15 67 48 -23.4166
1987-12-16 44 47.25 -9.2771
1987-12-17 54 52 -14.6761
1987-12-18 62 52.75 -17.3013
1987-12-19 52 55.25 -19.9147
1987-12-20 46 53.5 -15.1309
1987-12-21 61 56 -19.2328
1987-12-22 57 53.5 -17.2507
1987-12-23 62 50.25 -6.1087
1987-12-24 59 46.25 -7.2069
1987-12-25 49 48.5 -5.4331
1987-12-26 82 44.75 -15.7935
1987-12-27 67 46.5 -15.8619
1987-12-28 68 48.75 -22.207
1987-12-29 50 48.25 -19.4916
1987-12-30 57 46.75 -17.5209
1987-12-31 65 51 -16.6146
1988-01-01 55 53.75 -12.9202
1988-01-02 56 54.5 -18.8599
1988-01-03 61 56.5 -23.1901
1988-01-04 76 58 -22.8472
1988-01-05 82 52.75 -23.8621
1988-01-06 52 51.5 -19.7773
1988-01-07 51 52.25 -19.9484
1988-01-08 63 53 -18.4457
1988-01-09 68 55.75 -16.743
1988-01-10 65 58.25 -18.3368
1988-01-11 69 56.25 -19.0584
1988-01-12 59 57.5 -17.9994
1988-01-13 48 60.25 -17.8937
1988-01-14 55 63.25 -19.5154
1988-01-15 66 55.5 -22.8111
1988-01-16 47 53.75 -17.6235
1988-01-17 46 53.75 -8.5354
1988-01-18 70 54.5 -4.4673
1988-01-19 71 54 -13.5229
1988-01-20 50 51.5 -18.4785
1988-01-21 65 50.25 -19.5055
1988-01-22 46 55.25 -13.2876
1988-01-23 52 55.5 -17.096
1988-01-24 71 61.75 -10.5734
1988-01-25 62 65.75 -14.1679
1988-01-26 71 68.25 -18.4182
1988-01-27 78 66.25 -21.5963
1988-01-28 66 63.5 -17.4073
1988-01-29 65 56.25 -16.1633
1988-01-30 67 54.75 -11.4996
1988-01-31 70 53 -10.1683
1988-02-01 57 55 -11.4238
1988-02-02 70 53.75 -14.9886
1988-02-03 62 55 -12.7669
1988-02-04 69 56.25 -13.2596
1988-02-05 69 57.75 -15.0296
1988-02-06 76 59.75 -12.4094
1988-02-07 56 59.75 -8.4043
1988-02-08 71 58.5 -11.8964
1988-02-09 74 63.25 -10.7136
1988-02-10 63 69.5 -12.9143
1988-02-11 58 68.75 -10.1455
1988-02-12 79 69.25 -14.6915
1988-02-13 72 59.75 -10.1438
1988-02-14 64 63 -4.9554
1988-02-15 64 63.5 -11.2712
1988-02-16 62 58 -3.0439
1988-02-17 67 60.75 -5.6679
1988-02-18 78 56.75 -5.3791
1988-02-19 48 63 -6.9743
1988-02-20 64 59.75 -11.4527
1988-02-21 58 59.75 -8.2369
1988-02-22 69 56.5 -8.0988
1988-02-23 54 57.75 -9.7203
1988-02-24 46 57 -9.1244
1988-02-25 51 65.25 -1.0997
1988-02-26 59 61.5 -9.9197
1988-02-27 58 63.75 -12.2773
1988-02-28 57 62.25 -11.6929
1988-02-29 64 59.25 -14.6088
1988-03-01 53 57.75 -9.9429
1988-03-02 38 56.75 -12.1929
1988-03-03 60 57.25 -11.0157
1988-03-04 58 60.25 -6.4001
1988-03-05 52 58.25 0.1746
1988-03-06 52 58 6.8614
1988-03-07 52 60.75 4.8341
1988-03-08 48 59.75 -4.0247
1988-03-09 54 58.25 -1.9377
1988-03-10 42 61.25 0.7545
1988-03-11 46 57 -8.6649
1988-03-12 49 57.25 -8.0464
1988-03-13 40 59.75 -5.0619
1988-03-14 59 59.75 -5.773
1988-03-15 51 56.25 2.1481
1988-03-16 48 57.25 -3.7609
1988-03-17 55 61.75 -3.1371
1988-03-18 53 65 -6.5974
1988-03-19 52 71.25 -1.8835
1988-03-20 59 71.5 7.1623
1988-03-21 62 61.25 2.2494
1988-03-22 61 60.25 -1.7769
1988-03-23 50 62 -5.7151
1988-03-24 43 72.25 1.6448
1988-03-25 55 79.75 -5.2199
1988-03-26 53 79.25 3.3453
1988-03-27 54 68.25 7.4362
1988-03-28 56 67.25 3.605
1988-03-29 34 69.25 -1.8749
1988-03-30 47 60.25 -1.0371
1988-03-31 56 64.75 -1.3684
1988-04-01 45 65 -0.9061
1988-04-02 41 63 5.4191
1988-04-03 40 59.75 12.1037
1988-04-04 59 61 6.1148
1988-04-05 50 66.5 16.4464
1988-04-06 47 68.25 17.9601
1988-04-07 46 64.75 6.6732
1988-04-08 56 64 6.7831
1988-04-09 37 67 15.5645
1988-04-10 42 71.5 9.2218
1988-04-11 54 69.75 16.1417
1988-04-12 37 66 6.8202
1988-04-13 60 66 1.6737
1988-04-14 34 56.75 -9.1903
1988-04-15 46 56 3.3941
1988-04-16 44 59.5 -2.3746
1988-04-17 44 60.5 1.3303
1988-04-18 45 61.75 -0.9162
1988-04-19 51 60.5 -5.0537
1988-04-20 50 57.25 -3.4168
1988-04-21 51 57 -10.8549
1988-04-22 45 57.75 -4.9683
1988-04-23 43 56.5 -3.8196
1988-04-24 45 57.5 6.4694
1988-04-25 60 61.25 8.5791
1988-04-26 49 62.25 8.4986
1988-04-27 50 60.25 9.532
1988-04-28 36 62.25 5.4957
1988-04-29 29 60.75 0.5098
1988-04-30 33 62.75 6.8968
1988-05-01 44 61.5 8.1799
1988-05-02 53 65.5 2.1216
1988-05-03 48 64 7.3959
1988-05-04 41 60.5 5.7565
1988-05-05 48 58.25 7.6538
1988-05-06 45 56 2.6775
1988-05-07 40 58.5 -0.7807
1988-05-08 59 58.5 -0.0243
1988-05-09 42 62.25 0.7241
1988-05-10 46 67.75 13.6954
1988-05-11 52 70.75 17.2171
1988-05-12 45 70.75 6.3277
1988-05-13 44 67.5 2.3214
1988-05-14 37 64.75 21.2115
1988-05-15 48 63.75 20.6537
1988-05-16 47 64 16.6005
1988-05-17 38 64 3.8355
1988-05-18 48 63.75 4.8897
1988-05-19 32 68 10.4727
1988-05-20 44 70 13.6542
1988-05-21 41 69 25.0009
1988-05-22 44 67.5 32.9413
1988-05-23 47 64.75 5.0068
1988-05-24 38 64.75 9.8824
1988-05-25 34 64 16.3592
1988-05-26 36 64.5 16.6222
1988-05-27 37 63.75 7.7516
1988-05-28 44 64.5 5.6718
1988-05-29 46 62 5.2369
1988-05-30 49 63.25 2.8343
1988-05-31 34 63.5 2.934
1988-06-01 33 67.25 5.6729
1988-06-02 46 69.5 8.1673
1988-06-03 47 69.25 11.8756
1988-06-04 51 63.5 4.5525
1988-06-05 43 59.5 3.424
1988-06-06 26 60.75 -1.2645
1988-06-07 53 60.25 -8.2112
1988-06-08 44 62.5 -2.8075
1988-06-09 41 63.75 5.8705
1988-06-10 56 65.75 10.5038
1988-06-11 51 62.5 4.5947
1988-06-12 35 63.25 13.0524
1988-06-13 37 64 17.7996
1988-06-14 50 63.75 20.7926
1988-06-15 53 62.5 17.564
1988-06-16 50 63.5 17.0309
1988-06-17 40 62.25 -5.8744
1988-06-18 42 64 12.6846
1988-06-19 46 65 6.4754
1988-06-20 46 65.5 3.0474
1988-06-21 36 66.75 5.7307
1988-06-22 42 65.25 1.8375
1988-06-23 42 65.25 5.7978
1988-06-24 45 65.25 4.8081
1988-06-25 43 67.75 6.1505
1988-06-26 44 70.75 17.7172
1988-06-27 42 68.75 15.3142
1988-06-28 33 68.25 10.8241
1988-06-29 38 67.25 15.0122
1988-06-30 53 68.5 27.6173
1988-07-01 42 68 28.6085
1988-07-02 44 67.5 24.9347
1988-07-03 45 67.5 22.3768
1988-07-04 40 68 10.1083
1988-07-05 42 69.25 11.2665
1988-07-06 39 71.25 15.8585
1988-07-07 44 71.5 12.9066
1988-07-08 41 70.25 14.4918
1988-07-09 30 68.25 23.5043
1988-07-10 38 68 19.4786
1988-07-11 48 68.75 16.0488
1988-07-12 47 70.5 22.7517
1988-07-13 37 69.25 19.6093
1988-07-14 57 69.75 15.508
1988-07-15 57 70 20.2969
1988-07-16 52 70.5 44.9071
1988-07-17 35 70 34.3535
1988-07-18 36 70.25 10.0272
1988-07-19 44 71 17.1247
1988-07-20 59 74.75 25.0572
1988-07-21 38 76.5 14.4072
1988-07-22 48 78.25 14.1227
1988-07-23 34 73.5 11.8195
1988-07-24 37 72.5 4.1193
1988-07-25 42 72.5 -2.3695
1988-07-26 40 73 7.8419
1988-07-27 49 70.75 4.3598
1988-07-28 43 71.5 12.7487
1988-07-29 37 71.75 24.0831
1988-07-30 45 72.75 13.5703
1988-07-31 45 73 4.729
1988-08-01 45 72 2.2431
1988-08-02 44 71.75 1.555
1988-08-03 56 70.75 2.0654
1988-08-04 46 71 2.2212
1988-08-05 43 71.25 2.4083
1988-08-06 39 68.25 -0.5439
1988-08-07 34 68.25 7.0509
1988-08-08 37 68.5 5.9887
1988-08-09 39 68.25 11.6671
1988-08-10 37 68.75 22.3659
1988-08-11 30 68.75 13.7123
1988-08-12 48 69.5 19.2775
1988-08-13 38 69.25 20.3639
1988-08-14 45 69.5 9.981
1988-08-15 34 69.25 -0.8367
1988-08-16 44 69.5 11.2115
1988-08-17 40 67.75 13.8977
1988-08-18 36 67.5 12.9685
1988-08-19 44 68.25 17.2942
1988-08-20 40 67.5 12.7584
1988-08-21 44 67.5 9.6895
1988-08-22 28 69 2.3851
1988-08-23 41 73.5 3.1709
1988-08-24 48 75.25 -15.5894
1988-08-25 41 76.5 10.6228
1988-08-26 47 75.75 1.0193
1988-08-27 54 73.5 0.425
1988-08-28 40 73.75 13.0504
1988-08-29 51 72 6.7689
1988-08-30 42 71.5 9.1086
1988-08-31 35 69.5 7.507
1988-09-01 38 69 9.9133
1988-09-02 54 72.5 17.1495
1988-09-03 43 79.75 22.1936
1988-09-04 72 88.25 22.5247
1988-09-05 65 83.5 19.3175
1988-09-06 55 75.25 7.1
1988-09-07 46 71.25 2.2491
1988-09-08 45 70.25 3.4252
1988-09-09 37 69.25 9.3641
1988-09-10 50 66.75 5.4277
1988-09-11 48 66 6.726
1988-09-12 46 68 -4.3489
1988-09-13 56 66 -6.2865
1988-09-14 46 67 0.8535
1988-09-15 45 65.75 7.7715
1988-09-16 36 67 19.3637
1988-09-17 41 66.75 25.241
1988-09-18 34 67.75 21.6963
1988-09-19 34 65.25 19.1761
1988-09-20 37 64.75 8.6121
1988-09-21 39 64.5 -9.6448
1988-09-22 32 66.5 -5.1367
1988-09-23 60 66.25 4.4605
1988-09-24 35 67 6.4093
1988-09-25 32 64.75 4.4807
1988-09-26 42 65.5 1.2846
1988-09-27 37 65.25 1.3332
1988-09-28 44 69 5.3779
1988-09-29 46 67.25 -0.9521
1988-09-30 51 66.5 12.5891
1988-10-01 36 66.5 13.3882
1988-10-02 49 66 21.9669
1988-10-03 44 66 0.6236
1988-10-04 50 66 3.3918
1988-10-05 38 66.5 5.8649
1988-10-06 52 65.75 -3.9685
1988-10-07 41 68.75 -4.6258
1988-10-08 44 72.5 -1.8312
1988-10-09 52 78.75 -4.8296
1988-10-10 35 73.75 1.2048
1988-10-11 45 67 -2.4641
1988-10-12 39 65.75 -5.4979
1988-10-13 44 66.5 -8.455
1988-10-14 37 65.75 -7.3721
1988-10-15 44 66 -7.0392
1988-10-16 47 70.5 3.6612
1988-10-17 55 69.25 6.8549
1988-10-18 46 69.5 4.0037
1988-10-19 40 68 9.1595
1988-10-20 37 66.5 4.0135
1988-10-21 47 66 7.614
1988-10-22 37 64 9.4524
1988-10-23 39 65.5 19.06
1988-10-24 40 65.25 22.733
1988-10-25 46 64.25 16.7025
1988-10-26 43 64 4.6229
1988-10-27 50 64.25 6.8006
1988-10-28 42 64.25 -4.4201
1988-10-29 42 64.5 -10.9159
1988-10-30 37 63.75 -7.8244
1988-10-31 40 66.75 -8.803
1988-11-01 39 62.5 -7.1719
1988-11-02 26 63.5 -6.6138
1988-11-03 48 64.75 -10.1264
1988-11-04 57 65.5 -4.772
1988-11-05 35 64 0.4945
1988-11-06 43 62 18.2926
1988-11-07 41 62.5 -7.8196
1988-11-08 37 60.75 -11.2635
1988-11-09 44 60 -8.8846
1988-11-10 44 61.5 -14.8119
1988-11-11 41 62.25 -13.3729
1988-11-12 52 62 -5.6287
1988-11-13 37 62.25 -5.8255
1988-11-14 28 60 -5.0801
1988-11-15 45 55.25 -14.8119
1988-11-16 39 58.75 -16.8746
1988-11-17 49 59 -11.0137
1988-11-18 41 60.75 -10.6018
1988-11-19 36 54.5 -19.6741
1988-11-20 46 56.75 -14.8298
1988-11-21 49 59.25 -17.7938
1988-11-22 42 58.5 -19.3008
1988-11-23 64 56.5 -19.7795
1988-11-24 52 55.75 -15.7915
1988-11-25 45 52.25 -19.0507
1988-11-26 45 56 -14.5505
1988-11-27 47 60.5 -14.4661
1988-11-28 47 58.75 -18.7092
1988-11-29 47 65 -15.4422
1988-11-30 41 67 -15.5008
1988-12-01 62 66.5 -18.0754
1988-12-02 53 65.75 -19.3473
1988-12-03 47 61.75 -20.8287
1988-12-04 51 66 -18.384
1988-12-05 45 66.25 -19.1042
1988-12-06 45 61.5 -18.3913
1988-12-07 42 63.75 -9.9195
1988-12-08 45 68.75 -4.9481
1988-12-09 52 63.5 -14.1077
1988-12-10 46 59.75 -19.1252
1988-12-11 67 60.5 -16.0822
1988-12-12 48 64 -19.1449
1988-12-13 49 55.75 -20.3189
1988-12-14 58 56 -14.6513
1988-12-15 66 56.25 -17.4354
1988-12-16 45 55.75 -15.7568
1988-12-17 50 55.25 -19.3515
1988-12-18 54 53.25 -17.7097
1988-12-19 54 51.5 -19.4676
1988-12-20 64 53.25 -23.0589
1988-12-21 48 56.75 -9.7886
1988-12-22 47 49.75 -19.7154
1988-12-23 41 52.5 -19.0603
1988-12-24 45 50.75 -22.3116
1988-12-25 54 49.25 -8.1068
1988-12-26 47 47.75 -14.3258
1988-12-27 61 45.75 -17.7234
1988-12-28 56 46.5 -19.0906
1988-12-29 56 48 -17.7986
1988-12-30 55 48.25 -21.6965
1988-12-31 67 47 -23.1405
1989-01-01 53 54.75 -12.7246
1989-01-02 64 54 -14.5892
1989-01-03 54 58.25 -22.3889
1989-01-04 73 56.25 -23.9667
1989-01-05 57 52 -16.9863
1989-01-06 59 51.25 -12.225
1989-01-07 57 45 -19.7427
1989-01-08 54 47 -16.4241
1989-01-09 63 52.5 -20.1269
1989-01-10 62 52.75 -21.2538
1989-01-11 51 54.25 -13.7903
1989-01-12 70 53.5 -15.0162
1989-01-13 77 50.75 -19.5331
1989-01-14 72 47.75 -17.63
1989-01-15 76 54 -14.7092
1989-01-16 71 58.5 -17.2652
1989-01-17 71 62.75 -18.0681
1989-01-18 68 63.75 -15.562
1989-01-19 55 65.5 -17.0975
1989-01-20 70 65.75 -21.9021
1989-01-21 89 67.5 -19.4457
1989-01-22 73 59.25 -10.9407
1989-01-23 74 54 -17.3163
1989-01-24 66 52.5 -17.9288
1989-01-25 87 54.25 -17.0594
1989-01-26 69 55.75 -13.8516
1989-01-27 76 53 -18.4962
1989-01-28 82 53 -14.8873
1989-01-29 55 53.25 -12.3227
1989-01-30 71 60.5 -15.5272
1989-01-31 75 57.5 -15.2558
1989-02-01 68 52.5 -11.7456
1989-02-02 67 54.25 -9.1735
1989-02-03 73 52.25 -17.3416
1989-02-04 68 51.5 -9.9466
1989-02-05 68 47 -9.1849
1989-02-06 64 45 -6.7911
1989-02-07 78 48.25 -7.97
1989-02-08 86 49.75 -12.0593
1989-02-09 73 51.5 -21.5586
1989-02-10 74 54.5 -17.7559
1989-02-11 72 51.5 -13.3784
1989-02-12 54 53.75 -7.704
1989-02-13 65 47.25 -17.6878
1989-02-14 69 47.5 -15.1675
